,0
509,212
510,239
511,247
512,232
513,233
514,233
515,234
516,235
517,235
518,236
519,237
520,241
521,199
522,177
523,115
524,192
525,207
526,176
527,166
528,147
529,164
530,166
531,156
532,147
533,144
534,142
535,69
536,111
537,100
538,91
539,119
540,114
541,123
542,188
543,247
544,224
545,224
546,224
547,225
548,225
549,227
550,228
551,229
552,231
553,176
554,142
555,136
556,175
557,199
558,181
559,188
560,173
561,195
562,157
563,176
564,164
565,146
566,129
567,98
568,94
569,95
570,91
571,98
572,122
573,125
574,158
575,242
576,214
577,213
578,212
579,212
580,212
581,214
582,216
583,217
584,220
585,159
586,114
587,125
588,162
589,176
590,167
591,198
592,217
593,210
594,189
595,166
596,171
597,157
598,132
599,94
600,77
601,88
602,127
603,117
604,121
605,122
606,155
607,244
608,203
609,199
610,196
611,193
612,192
613,193
614,194
615,198
616,183
617,118
618,92
619,106
620,161
621,155
622,165
623,169
624,211
625,214
626,205
627,174
628,167
629,147
630,125
631,114
632,100
633,95
634,106
635,129
636,134
637,158
638,195
639,245
640,191
641,185
642,178
643,172
644,167
645,162
646,158
647,158
648,108
649,88
650,90
651,78
652,158
653,151
654,145
655,152
656,193
657,201
658,193
659,189
660,162
661,136
662,106
663,82
664,116
665,149
666,119
667,136
668,135
669,135
670,225
671,242
672,188
673,181
674,173
675,165
676,156
677,142
678,103
679,92
680,81
681,86
682,76
683,88
684,164
685,137
686,123
687,158
688,189
689,183
690,176
691,146
692,127
693,114
694,125
695,100
696,106
697,135
698,125
699,149
700,163
701,160
702,237
703,240
704,202
705,197
706,192
707,185
708,178
709,140
710,117
711,109
712,81
713,71
714,63
715,91
716,147
717,136
718,118
719,121
720,169
721,169
722,150
723,118
724,142
725,131
726,106
727,114
728,158
729,113
730,129
731,166
732,137
733,188
734,244
735,239
736,217
737,214
738,210
739,206
740,199
741,178
742,176
743,167
744,148
745,125
746,116
747,129
748,137
749,144
750,131
751,106
752,119
753,132
754,129
755,116
756,132
757,152
758,145
759,123
760,141
761,139
762,150
763,154
764,149
765,229
766,240
767,239
768,229
769,228
770,225
771,222
772,218
773,213
774,204
775,195
776,184
777,170
778,162
779,138
780,139
781,143
782,143
783,158
784,151
785,146
786,141
787,132
788,151
789,155
790,158
791,150
792,151
793,131
794,130
795,124
796,184
797,242
798,239
799,239
800,238
801,237
802,235
803,234
804,232
805,229
806,224
807,217
808,206
809,189
810,178
811,138
812,143
813,134
814,188
815,201
816,195
817,180
818,147
819,120
820,119
821,166
822,159
823,157
824,119
825,118
826,130
827,190
828,237
829,240
830,239
831,239
832,241
833,241
834,240
835,240
836,240
837,240
838,226
839,207
840,205
841,172
842,146
843,139
844,130
845,146
846,232
847,228
848,220
849,132
850,83
851,43
852,50
853,83
854,122
855,100
856,130
857,195
858,228
859,243
860,240
861,239
862,239
863,239
864,241
865,241
866,241
867,242
868,242
869,241
870,205
871,194
872,162
873,155
874,143
875,144
876,137
877,212
878,205
879,183
880,169
881,140
882,124
883,81
884,21
885,73
886,146
887,187
888,231
889,244
890,242
891,240
892,240
893,240
894,240
895,240
896,241
897,241
898,241
899,242
900,242
901,242
902,242
903,242
904,216
905,226
906,226
907,227
908,236
909,237
910,180
911,214
912,208
913,205
914,199
915,193
916,175
917,181
918,239
919,246
920,243
921,242
922,242
923,242
924,241
925,241
926,241
927,242
928,241
929,241
930,241
931,242
932,242
933,242
934,242
935,242
936,244
937,244
938,244
939,243
940,242
941,241
942,241
943,242
944,243
945,244
946,245
947,245
948,247
949,246
950,243
951,242
952,242
953,242
954,242
955,242
956,242
957,242
958,242
959,242
960,241
961,241
962,241
963,241
964,242
965,242
966,242
967,242
968,242
969,242
970,242
971,242
972,242
973,242
974,242
975,242
976,242
977,242
978,242
979,242
980,242
981,242
982,242
983,242
984,242
985,242
986,242
987,242
988,242
989,242
990,242
991,242
992,242
993,241
994,242
995,242
996,242
997,242
998,242
999,242
1000,242
1001,242
1002,242
1003,242
1004,242
1005,242
1006,242
1007,242
1008,242
1009,242
1010,242
1011,242
1012,242
1013,242
1014,242
1015,242
1016,242
1017,242
1018,242
1019,242
1020,243
1021,242
1022,243
1023,244
